ERROR 2017-05-17 13:24:55,219 views 25604 27040 sidebar svdfdfe
DEBUG 2017-05-17 13:24:55,226 apifuncs 25604 27180 API_GetPublishData None
DEBUG 2017-05-17 13:24:55,226 apifuncs 25604 27180 API_GetPublishData None
DEBUG 2017-05-17 13:24:55,226 apifuncs 25604 27180 API_GetPublishData None
DEBUG 2017-05-17 13:24:55,230 apifuncs 25604 27180 API_GetPublishData 1
DEBUG 2017-05-17 13:24:55,244 apifuncs 25604 27180 API_GetPublishData 7
DEBUG 2017-05-17 13:24:55,253 apifuncs 25604 27180 API_GetPublishData 999999(全网渠道)
ERROR 2017-05-17 13:25:32,530 views 25604 27188 sidebar svdfdfe
DEBUG 2017-05-17 13:25:32,553 apifuncs 25604 26904 API_GetPublishData None
DEBUG 2017-05-17 13:25:32,555 apifuncs 25604 26904 API_GetPublishData None
DEBUG 2017-05-17 13:25:32,555 apifuncs 25604 26904 API_GetPublishData None
DEBUG 2017-05-17 13:25:32,555 apifuncs 25604 26904 API_GetPublishData 1
DEBUG 2017-05-17 13:25:32,569 apifuncs 25604 26904 API_GetPublishData 7
DEBUG 2017-05-17 13:25:32,573 apifuncs 25604 26904 API_GetPublishData 100008
DEBUG 2017-05-17 13:25:32,578 apifuncs 25604 26904 API_GetPublishData 探寻宝物
DEBUG 2017-05-17 13:25:32,578 apifuncs 25604 26904 API_GetPublishData 100003
DEBUG 2017-05-17 13:25:32,581 apifuncs 25604 26904 API_GetPublishData 手助渠道
DEBUG 2017-05-17 13:25:32,581 apifuncs 25604 26904 API_GetPublishData 100008
DEBUG 2017-05-17 13:25:32,584 apifuncs 25604 26904 API_GetPublishData 探寻宝物
DEBUG 2017-05-17 13:25:32,584 apifuncs 25604 26904 API_GetPublishData 999999
DEBUG 2017-05-17 13:25:32,585 apifuncs 25604 26904 API_GetPublishData 全网渠道
DEBUG 2017-05-17 13:25:32,585 apifuncs 25604 26904 API_GetPublishData 2010000006
DEBUG 2017-05-17 13:25:32,588 apifuncs 25604 26904 API_GetPublishData 百度
DEBUG 2017-05-17 13:25:32,588 apifuncs 25604 26904 API_GetPublishData 2010003660
DEBUG 2017-05-17 13:25:32,591 apifuncs 25604 26904 API_GetPublishData qq浏览器
DEBUG 2017-05-17 13:25:32,591 apifuncs 25604 26904 API_GetPublishData 100000
DEBUG 2017-05-17 13:25:32,595 apifuncs 25604 26904 API_GetPublishData 测试渠道
DEBUG 2017-05-17 13:25:32,595 apifuncs 25604 26904 API_GetPublishData 100000
DEBUG 2017-05-17 13:25:32,596 apifuncs 25604 26904 API_GetPublishData 测试渠道
DEBUG 2017-05-17 13:25:32,596 apifuncs 25604 26904 API_GetPublishData 100003
DEBUG 2017-05-17 13:25:32,599 apifuncs 25604 26904 API_GetPublishData 手助渠道
DEBUG 2017-05-17 13:25:32,601 apifuncs 25604 26904 API_GetPublishData 100003
DEBUG 2017-05-17 13:25:32,604 apifuncs 25604 26904 API_GetPublishData 手助渠道
DEBUG 2017-05-17 13:25:32,604 apifuncs 25604 26904 API_GetPublishData 100003
DEBUG 2017-05-17 13:25:32,605 apifuncs 25604 26904 API_GetPublishData 手助渠道
DEBUG 2017-05-17 13:25:32,605 apifuncs 25604 26904 API_GetPublishData 100003
DEBUG 2017-05-17 13:25:32,608 apifuncs 25604 26904 API_GetPublishData 手助渠道
DEBUG 2017-05-17 13:25:32,608 apifuncs 25604 26904 API_GetPublishData 100003
DEBUG 2017-05-17 13:25:32,611 apifuncs 25604 26904 API_GetPublishData 手助渠道
DEBUG 2017-05-17 13:25:32,611 apifuncs 25604 26904 API_GetPublishData 100003
DEBUG 2017-05-17 13:25:32,614 apifuncs 25604 26904 API_GetPublishData 手助渠道
DEBUG 2017-05-17 13:25:32,614 apifuncs 25604 26904 API_GetPublishData 100003
DEBUG 2017-05-17 13:25:32,617 apifuncs 25604 26904 API_GetPublishData 手助渠道
DEBUG 2017-05-17 13:25:32,617 apifuncs 25604 26904 API_GetPublishData 100003
DEBUG 2017-05-17 13:25:32,619 apifuncs 25604 26904 API_GetPublishData 手助渠道
DEBUG 2017-05-17 13:25:32,619 apifuncs 25604 26904 API_GetPublishData 100003
DEBUG 2017-05-17 13:25:32,622 apifuncs 25604 26904 API_GetPublishData 手助渠道
DEBUG 2017-05-17 13:25:32,622 apifuncs 25604 26904 API_GetPublishData 100003
DEBUG 2017-05-17 13:25:32,625 apifuncs 25604 26904 API_GetPublishData 手助渠道
DEBUG 2017-05-17 13:25:32,625 apifuncs 25604 26904 API_GetPublishData 100003
DEBUG 2017-05-17 13:25:32,628 apifuncs 25604 26904 API_GetPublishData 手助渠道
DEBUG 2017-05-17 13:25:32,628 apifuncs 25604 26904 API_GetPublishData 100003
DEBUG 2017-05-17 13:25:32,632 apifuncs 25604 26904 API_GetPublishData 手助渠道
